openmlid,target_type,epsilon,w_min,delta,c,bootstrap_repeats,seed,num_trees,reasoning_time_per_tree_in_ns,score_oob,score_val,gap_oob,gap_val,time_train,time_pred,time_score
399,oob,0.001,100,100,100000,0,4.5,5326.2,2.2,0.4064199999999999,0.3967699999999999,0.0038199999999999,0.000185,843796075.3199999,258881568.66,2201813.46
399,oob,0.01,100,100,100,0,4.5,306.0,4.2,0.43766,0.39887,0.03506,0.0022849999999999,48467744.9,14860384.0,126499.6
399,oob,0.1,3,3,10,0,4.5,14.0,57.7,0.6152,0.45047,0.2125999999999999,0.053885,2217594.12,680283.38,5789.14
401,oob,0.001,100,100,100000,0,4.0,5401.0,2.555555555555556,0.3576555555555555,0.3413555555555556,0.0042111111111111,0.0003244444444444,22740452.9,4423365.1,265024.1
401,oob,0.01,100,100,100,0,4.0,313.3333333333333,4.333333333333333,0.3919222222222222,0.3449111111111111,0.0384777777777777,0.0038799999999999,1319326.2222222222,256616.88888888888,15376.444444444443
401,oob,0.1,3,3,10,0,4.0,14.444444444444445,58.11111111111112,0.5734555555555556,0.3913111111111111,0.2200111111111111,0.05028,60815.11111111111,11831.644444444444,709.088888888889
485,oob,0.001,100,100,100000,0,4.25,3390.75,2.125,1.1774875,1.18015,-0.0023325,-0.00014375,3745990.4625,877663.4625,85329.3375
485,oob,0.01,100,100,100,0,4.25,180.0,4.875,1.1794,1.1866125,-0.00042,0.00631875,198777.5,46600.125,4529.25
485,oob,0.1,3,3,10,0,4.25,6.0,70.125,1.2963125,1.233375,0.1164925,0.05308125,6616.9,1551.5500000000002,150.6
554,oob,0.001,100,100,100000,0,4.5,4445.1,2.0,0.1054799999999999,0.09762,0.0031399999999999,7e-05,1257668971.02,112551354.63,8658810.27
554,oob,0.01,100,100,100,0,4.5,272.0,4.3,0.13149,0.0992,0.02915,0.00165,76925765.1,6874873.3,529836.2
554,oob,0.1,3,3,10,0,4.5,14.0,58.4,0.28603,0.1306,0.18369,0.03305,3958344.74,353422.58,27272.98
679,oob,0.001,100,100,100000,0,4.5,2554.2,2.1,0.69999,0.73578,-0.0025,-0.000236,3566277.99,806627.25,107632.8
679,oob,0.01,100,100,100,0,4.5,154.0,5.2,0.69833,0.7360599999999999,-0.00416,4.3999999999999945e-05,214915.1,48625.0,6499.6
679,oob,0.1,3,3,10,0,4.5,9.8,67.3,0.7652599999999999,0.73114,0.06277,-0.004876,13683.24,3094.92,413.58
715,oob,0.001,100,100,100000,0,4.666666666666667,4543.0,2.0,0.2073555555555555,0.1992777777777777,0.0030222222222222,-0.00058,11528633.6,1426478.9,176152.90000000002
715,oob,0.01,100,100,100,0,4.666666666666667,291.1111111111111,4.555555555555555,0.2343111111111111,0.2017111111111111,0.0299777777777777,0.0018533333333333,738633.2222222222,91407.77777777778,11286.888888888889
715,oob,0.1,3,3,10,0,4.666666666666667,14.444444444444445,58.77777777777778,0.4001666666666666,0.2380666666666666,0.1958333333333333,0.0382088888888888,36649.66666666666,4534.533333333334,559.9111111111112
718,oob,0.001,100,100,100000,0,4.5,4474.8,2.4,0.30087,0.2973,0.0009739999999999,-0.0007229999999999,18420291.45,1508891.67,175368.6
718,oob,0.01,100,100,100,0,4.5,269.0,5.0,0.31888,0.29488,0.018984,-0.003143,1107350.3,90716.5,10537.8
718,oob,0.1,3,3,10,0,4.5,13.0,59.2,0.46825,0.32022,0.168354,0.022197,53521.77999999999,4385.3,509.32
720,oob,0.001,100,100,100000,0,4.5,2999.7,2.0,0.2897699999999999,0.28843,0.00138,-8.2e-05,12246901.92,1449933.21,251895.6
720,oob,0.01,100,100,100,0,4.5,231.0,4.7,0.30608,0.28958,0.01769,0.001068,943190.4,111668.8,19397.0
720,oob,0.1,3,3,10,0,4.5,12.6,58.7,0.43547,0.31219,0.14708,0.0236779999999999,51454.58,6092.08,1057.98
722,oob,0.001,100,100,100000,0,4.888888888888889,3311.0,2.0,0.0344111111111111,0.0302555555555555,0.0018666666666666,1.2222222222222222e-05,25835971.700000003,3430396.2,783631.2
722,oob,0.01,100,100,100,0,4.888888888888889,240.0,4.444444444444445,0.0525555555555555,0.0306888888888888,0.0200111111111111,0.0004455555555555,1872728.0,248650.66666666663,56800.0
